iter	Passed	Remaining
782	31682	29011
783	31722	28971
784	31760	28928
785	31799	28886
786	31837	28843
787	31887	28812
788	31928	28771
789	31964	28727
790	32001	28683
791	32043	28645
792	32082	28603
793	32131	28570
794	32177	28534
795	32211	28488
796	32247	28444
797	32285	28401
798	32322	28357
799	32364	28318
800	32402	28276
801	32437	28231
802	32477	28190
803	32510	28143
804	32549	28101
805	32581	28054
806	32622	28014
807	32659	27970
808	32691	27922
809	32726	27877
810	32764	27835
811	32789	27782
812	32822	27735
813	32861	27693
814	32906	27657
815	32945	27616
816	32993	27581
817	33027	27536
818	33063	27492
819	33103	27451
820	33145	27412
821	33184	27370
822	33223	27329
823	33256	27283
824	33297	27243
825	33340	27204
826	33378	27162
827	33420	27123
828	33454	27078
829	33489	27033
830	33529	26992
831	33568	26951
832	33608	26910
833	33643	26866
834	33678	26821
835	33722	26784
836	33759	26741
837	33798	26699
838	33839	26660
839	33883	26622
840	33930	26587
841	33971	26547
842	34012	26507
843	34052	26467
844	34095	26428
845	34135	26388
846	34171	26345
847	34212	26305
848	34251	26263
849	34291	26222
850	34333	26183
851	34374	26143
852	34415	26104
853	34458	26066
854	34498	26025
855	34535	25982
856	34575	25942
857	34618	25902
858	34656	25861
859	34696	25820
860	34733	25778
861	34772	25736
862	34805	25691
863	34844	25649
864	34885	25609
865	34919	25564
866	34963	25526
867	35002	25485
868	35043	25445
869	35084	25406
870	35125	25366
871	35167	25327
872	35210	25288
873	35249	25247
874	35282	25201
875	35318	25158
876	35359	25118
877	35398	25077
878	35441	25039
879	35483	24999
880	35523	24958
881	35559	24915
882	35602	24877
883	35639	24834
884	35685	24798
885	35726	24758
886	35767	24718
887	35815	24683
888	35858	24644
889	35897	24603
890	35944	24567
891	35985	24527
892	36025	24487
893	36058	24442
894	36094	24398
895	36135	24358
896	36177	24319
897	36220	24281
898	36260	24241
899	36302	24201
900	36343	24161
901	36385	24122
902	36422	24079
903	36462	24039
904	36503	23999
905	36545	23960
906	36586	23920
907	36623	23878
908	36666	23839
909	36702	23796
910	36735	23751
911	36773	23708
912	36816	23670
913	36854	23629
914	36896	23589
915	36944	23554
916	36992	23518
917	37030	23476
918	37066	23434
919	37102	23390
920	37140	23349
921	37179	23307
922	37222	23268
923	37266	23231
924	37305	23189
925	37338	23145
926	37379	23105
927	37419	23064
928	37450	23018
929	37495	22981
930	37531	22938
931	37573	22898
932	37612	22857
933	37644	22812
934	37685	22772
935	37721	22729
936	37762	22689
937	37803	22649
938	37840	22607
939	37881	22567
940	37922	22527
941	37962	22487
942	37998	22444
943	38040	22405
944	38080	22364
945	38117	22322
946	38155	22280
947	38193	22239
948	38228	22195
949	38266	22154
950	38309	22115
951	38349	22075
952	38387	22033
953	38421	21989
954	38465	21951
955	38508	21912
956	38553	21874
957	38594	21835
958	38635	21795
959	38670	21752
960	38708	21710
961	38744	21667
962	38781	21625
963	38816	21582
964	38851	21539
965	38888	21497
966	38933	21459
967	38973	21419
968	39015	21380
969	39064	21344
970	39107	21305
971	39147	21265
972	39180	21220
973	39213	21177
974	39260	21140
975	39300	21099
976	39348	21063
977	39390	21024
978	39429	20983
979	39469	20942
980	39507	20901
981	39549	20862
982	39589	20821
983	39629	20781
984	39669	20741
985	39711	20701
986	39751	20661
987	39785	20617
988	39821	20575
989	39859	20533
990	39897	20492
991	39940	20453
992	39978	20411
993	40016	20370
994	40054	20329
995	40100	20291
996	40139	20250
997	40176	20209
998	40210	20165
999	40244	20122
1000	40284	20081
1001	40326	20042
1002	40363	20000
1003	40402	19959
1004	40440	19918
1005	40477	19876
1006	40513	19834
1007	40561	19798
1008	40608	19760
1009	40650	19721
1010	40693	19682
1011	40732	19641
1012	40773	19601
1013	40816	19562
1014	40853	19521
1015	40891	19479
1016	40932	19439
1017	40973	19400
1018	41013	19359
1019	41056	19320
1020	41094	19279
1021	41133	19238
1022	41173	19198
1023	41212	19157
1024	41250	19116
1025	41295	19077
1026	41334	19037
1027	41370	18995
1028	41411	18955
1029	41459	18918
1030	41497	18876
1031	41537	18836
1032	41573	18794
1033	41611	18753
1034	41650	18712
1035	41688	18671
1036	41727	18630
1037	41765	18589
1038	41805	18548
1039	41846	18508
1040	41885	18468
1041	41923	18426
1042	41962	18386
1043	41999	18344
1044	42036	18302
1045	42074	18261
1046	42115	18221
1047	42155	18181
1048	42190	18139
1049	42228	18097
1050	42269	18057
1051	42315	18020
1052	42351	17978
1053	42391	17938
1054	42429	17896
1055	42470	17857
1056	42505	17814
1057	42541	17772
1058	42581	17732
1059	42612	17688
1060	42653	17648
1061	42689	17606
1062	42740	17570
1063	42780	17530
1064	42823	17491
1065	42867	17452
1066	42905	17411
1067	42949	17372
1068	42994	17334
1069	43034	17294
1070	43076	17254
1071	43114	17213
1072	43152	17172
1073	43192	17132
1074	43232	17091
1075	43271	17051
1076	43316	17012
1077	43358	16973
1078	43396	16932
1079	43437	16892
1080	43472	16850
1081	43511	16809
1082	43549	16768
1083	43584	16726
1084	43623	16685
1085	43663	16645
1086	43703	16604
1087	43744	16564
1088	43781	16523
1089	43817	16481
1090	43857	16441
1091	43895	16400
1092	43939	16361
1093	43974	16319
1094	44015	16279
1095	44052	16238
1096	44105	16202
1097	44150	16164
1098	44193	16125
1099	44234	16085
1100	44277	16046
1101	44322	16007
1102	44365	15968
1103	44410	15929
1104	44450	15889
1105	44502	15853
1106	44553	15817
1107	44597	15778
1108	44643	15739
1109	44688	15701
1110	44734	15663
1111	44772	15622
1112	44811	15581
1113	44849	15540
1114	44885	15498
1115	44917	15455
1116	44958	15415
1117	44995	15374
1118	45036	15334
1119	45079	15294
1120	45115	15253
1121	45150	15211
1122	45196	15172
1123	45233	15131
1124	45273	15091
1125	45317	15052
1126	45358	15012
1127	45390	14969
1128	45429	14928
1129	45467	14887
1130	45507	14847
1131	45551	14808
1132	45592	14768
1133	45630	14727
1134	45676	14688
1135	45714	14648
1136	45754	14607
1137	45793	14567
1138	45833	14526
1139	45874	14486
1140	45919	14447
1141	45960	14407
1142	46005	14369
1143	46046	14329
1144	46086	14288
1145	46123	14247
1146	46160	14206
